# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jun 19 16:49:47 2019
#
# User preference: *
#
# CONSTRAINT:  where (pl_letter like '%b%'
# CONSTRAINT:  and pl_pnum = 1
# CONSTRAINT:  and st_diststr < 50)
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_controvflag: Controversial Flag
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN gaia_dist:      Gaia Distance [pc]
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_orblper:     Long. of Periastron [deg]
# COLUMN pl_facility:    Discovery Facility
#
pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_orblper,pl_facility
Gl 686,b,Gl 686 b,Radial Velocity,0,1,15.53140000,0.091700,0.077000,,0.02089,Msini,,,0,0,0,0,17h37m53.35s,264.472290,+18d35m30.2s,18.591709,8.16,8.16,9.577,V (Johnson),8.739,3663.00,0.42,0.42,2019-06-13,,Roque de los Muchachos Observatory
GJ 849,b,GJ 849 b,Radial Velocity,0,1,1882.00000000,2.350000,0.040000,,1.00000,Msini,,,0,0,0,0,22h09m40.35s,332.418121,-04d38m26.6s,-4.640729,8.80,8.80,10.370,V (Johnson),9.224,3241.00,0.65,0.53,2018-09-06,,W. M. Keck Observatory
GJ 433,b,GJ 433 b,Radial Velocity,0,1,7.37090000,0.060000,0.080000,,0.02000,Msini,,,0,0,0,0,11h35m26.95s,173.862289,-32d32m23.9s,-32.539970,9.07,9.07,9.806,V (Johnson),8.891,3461.00,0.59,0.50,2018-09-06,,La Silla Observatory
HD 102365,b,HD 102365 b,Radial Velocity,0,1,122.10000000,0.460000,0.340000,,0.05000,Msini,,,0,0,0,0,11h46m31.07s,176.629471,-40d30m01.3s,-40.500355,9.29,9.29,4.910,V (Johnson),4.656,5630.00,0.85,,2014-05-14,105.0000,Anglo-Australian Telescope
HD 285968,b,HD 285968 b,Radial Velocity,0,1,8.78360000,0.066000,0.000000,,0.02600,Msini,,,0,0,0,0,04h42m55.78s,70.732407,+18d57m29.4s,18.958172,9.47,9.47,10.038,V (Johnson),9.000,3679.00,0.45,0.45,2014-11-19,0.0000,La Silla Observatory
GJ 436,b,GJ 436 b,Radial Velocity,0,1,2.64388312,0.029100,0.138270,86.440,0.07000,Mass,0.372,1.80000,0,0,0,0,11h42m11.09s,175.546219,+26d42m23.7s,26.706570,9.76,9.76,10.670,V (Johnson),9.571,,0.47,0.46,2015-02-05,351.0000,W. M. Keck Observatory
Gl 49,b,Gl 49 b,Radial Velocity,0,1,13.85080000,0.090500,0.363000,,0.01771,Msini,,,0,0,0,0,01h02m38.87s,15.661943,+62d20m42.2s,62.345043,9.86,9.86,9.560,V (Johnson),8.663,3805.00,0.52,0.51,2019-06-13,43.0000,Multiple Observatories
WISEP J121756.91+162640.2 A,b,WISEP J121756.91+162640.2 A b,Imaging,0,1,,8.000000,,,22.00000,Mass,0.934,,0,0,0,0,12h17m56.91s,184.487125,+16d26m40.2s,16.444500,10.10,,,,,575.00,0.03,0.09,2014-05-14,,W. M. Keck Observatory
GJ 1265,b,GJ 1265 b,Radial Velocity,0,1,3.65110000,0.026000,0.040000,,0.02328,Msini,,,0,0,0,0,22h13m42.88s,333.428676,-17d41m08.8s,-17.685771,10.26,10.26,13.570,V (Johnson),12.081,3236.00,0.18,0.19,2018-12-06,282.0000,Calar Alto Observatory
HD 62509,b,HD 62509 b,Radial Velocity,0,1,589.64000000,1.640000,0.020000,,2.30000,Msini,,,0,0,0,0,07h45m18.95s,116.328957,+28d01m34.3s,28.026199,10.34,,1.140,V (Johnson),,4946.00,2.10,8.31,2015-03-26,354.5800,Multiple Observatories
GJ 649,b,GJ 649 b,Radial Velocity,0,1,598.30000000,1.135000,0.300000,,0.32800,Msini,,,0,0,0,0,16h58m08.85s,254.536880,+25d44m39.0s,25.744160,10.38,10.38,9.690,V (Johnson),8.819,3700.00,0.54,,2014-05-14,352.0000,W. M. Keck Observatory
GJ 536,b,GJ 536 b,Radial Velocity,0,1,8.70760000,0.066610,0.080000,,0.01686,Msini,,,0,0,0,0,14h01m03.19s,210.263290,-02d39m17.5s,-2.654864,10.41,10.41,9.720,V (Johnson),8.859,3685.00,0.52,0.50,2016-11-17,288.7000,La Silla Observatory
HD 147379,b,HD 147379 b,Radial Velocity,0,1,86.78000000,0.323000,0.070000,,0.08983,Msini,,,0,0,0,0,16h16m42.75s,244.178116,+67d14m19.8s,67.238846,10.77,10.77,8.896,V (Johnson),7.901,4156.00,0.60,,2018-11-08,97.2200,Calar Alto Observatory
GJ 86,b,GJ 86 b,Radial Velocity,0,1,15.76491000,0.110000,0.040000,,4.42000,Msini,,,0,0,0,0,02h10m25.93s,32.608059,-50d49m25.4s,-50.823723,10.79,10.79,6.120,V (Johnson),5.874,5182.00,0.93,0.77,2018-09-06,,La Silla Observatory
HD 3651,b,HD 3651 b,Radial Velocity,0,1,62.25000000,0.295000,0.645000,,0.22800,Msini,,,0,0,0,0,00h39m21.81s,9.840858,+21d15m01.7s,21.250473,11.14,11.14,5.860,V (Johnson),5.635,5221.00,0.80,,2019-03-14,243.0000,Multiple Observatories
HD 85512,b,HD 85512 b,Radial Velocity,0,1,58.43000000,0.260000,0.110000,,0.01000,Msini,,,0,0,0,0,09h51m07.05s,147.779388,-43d30m10.0s,-43.502789,11.28,11.28,7.670,V (Johnson),7.187,4300.00,0.43,0.71,2018-09-06,,La Silla Observatory
GJ 96,b,GJ 96 b,Radial Velocity,0,1,73.94000000,0.291000,0.440000,,0.06186,Msini,,,0,0,0,0,02h22m14.64s,35.561016,+47d52m48.1s,47.880028,11.94,11.94,9.345,V (Johnson),8.632,3785.00,0.60,,2018-11-08,339.5800,Haute-Provence Observatory
GJ 179,b,GJ 179 b,Radial Velocity,0,1,2288.00000000,2.410000,0.210000,,0.82000,Msini,,,0,0,0,0,04h52m05.73s,73.023865,+06d28m35.5s,6.476539,12.36,12.36,12.000,V (Johnson),10.706,3370.00,0.36,0.38,2014-05-14,153.0000,W. M. Keck Observatory
VHS J125601.92-125723.9,b,VHS J125601.92-125723.9 b,Imaging,0,1,,102.000000,,,11.20000,Mass,,,0,0,0,1,12h56m02.15s,194.008964,-12d57m21.7s,-12.956031,12.70,,17.759,V (Johnson),,2620.00,0.07,,2015-05-14,,Paranal Observatory
HD 147513,b,HD 147513 b,Radial Velocity,0,1,528.40000000,1.320000,0.260000,,1.21000,Msini,,,0,0,0,0,16h24m01.29s,246.005371,-39d11m34.7s,-39.192982,12.91,12.91,5.390,V (Johnson),5.194,5883.00,1.11,,2019-01-31,282.0000,La Silla Observatory
HD 211970,b,HD 211970 b,Radial Velocity,0,1,25.20100000,0.143000,0.150000,,0.04090,Msini,,,0,0,0,0,22h22m16.21s,335.567535,-54d33m38.2s,-54.560619,13.00,13.13,8.990,V (Johnson),,4127.00,0.61,,2019-05-23,97.8300,Las Campanas Observatory
gam Cep,b,gam Cep b,Radial Velocity,0,1,903.30000000,2.050000,0.049000,,1.85000,Msini,,,0,0,0,1,23h39m20.85s,354.836884,+77d37m56.2s,77.632278,13.54,13.54,3.210,V (Johnson),2.804,,1.40,4.90,2014-08-27,94.6000,Multiple Observatories
GJ 3779,b,GJ 3779 b,Radial Velocity,0,1,3.02320000,0.026000,0.070000,,0.02517,Msini,,,0,0,0,0,13h22m56.74s,200.736403,+24d28m03.5s,24.467626,13.75,13.75,12.960,V (Johnson),11.627,3324.00,0.27,0.28,2018-12-06,225.0000,Calar Alto Observatory
GJ 685,b,GJ 685 b,Radial Velocity,0,1,24.16000000,0.134400,0.000000,,0.02832,Msini,,,0,0,0,0,17h35m34.48s,263.893677,+61d40m53.6s,61.681564,14.32,14.32,9.970,V (Johnson),9.167,3816.00,0.55,0.54,2019-04-11,,Qatar
HIP 79431,b,HIP 79431 b,Radial Velocity,0,1,111.70000000,0.360000,0.290000,,2.10000,Msini,,,0,0,0,0,16h12m41.77s,243.174057,-18d52m31.8s,-18.875504,14.54,14.54,11.340,V (Johnson),10.235,3368.00,0.42,0.54,2019-01-31,287.4000,W. M. Keck Observatory
GJ 1214,b,GJ 1214 b,Transit,0,1,1.58040456,0.014110,,88.170,0.01970,Mass,0.254,1.49000,0,0,0,3,17h15m18.92s,258.828837,+04d57m50.1s,4.963920,14.65,14.65,15.100,V (Johnson),13.009,3026.00,0.15,0.22,2015-12-03,,MEarth Project
LHS 3844,b,LHS 3844 b,Transit,0,1,0.46292913,0.006220,,88.500,,,0.116,,0,0,0,0,22h41m58.10s,340.492104,-69d10m08.4s,-69.168986,14.90,14.89,15.260,V (Johnson),13.393,3036.00,0.15,0.19,2019-01-24,,Transiting Exoplanet Survey Satellite (TESS)
Gl 378,b,Gl 378 b,Radial Velocity,0,1,3.82200000,0.039435,0.109000,,0.04097,Msini,,,0,0,0,0,10h02m21.75s,150.590622,+48d05m19.7s,48.088806,14.96,14.96,10.190,V (Johnson),9.265,3879.00,0.56,0.56,2019-03-05,210.6000,Haute-Provence Observatory
51 Peg,b,51 Peg b,Radial Velocity,0,1,4.23078500,0.052700,0.013000,,0.47200,Msini,,,0,0,0,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.47,15.47,5.500,V (Johnson),5.256,5793.00,1.12,1.20,2014-05-14,58.0000,Haute-Provence Observatory
tau Boo,b,tau Boo b,Radial Velocity,0,1,3.31245680,0.049000,0.011000,,4.32000,Msini,,,0,0,0,0,13h47m15.74s,206.815598,+17d27m24.9s,17.456905,15.66,15.66,4.500,V (Johnson),4.295,6400.00,1.34,1.46,2015-04-16,113.4000,Roque de los Muchachos Observatory
HD 177565,b,HD 177565 b,Radial Velocity,0,1,44.50500000,0.246000,0.059300,,0.04751,Msini,,,0,0,0,0,19h06m52.46s,286.718597,-37d48m38.4s,-37.810658,16.93,16.93,6.160,V (Johnson),5.965,,1.00,,2017-06-15,309.9700,La Silla Observatory
GJ 3942,b,GJ 3942 b,Radial Velocity,0,1,6.90500000,0.060800,0.121000,,0.02246,Msini,,,0,0,0,0,16h09m03.14s,242.263092,+52d56m37.9s,52.943874,16.94,16.94,10.250,V (Johnson),9.408,3867.00,0.63,0.61,2017-12-21,112.7000,Roque de los Muchachos Observatory
HR 810,b,HR 810 b,Radial Velocity,0,1,302.79999000,0.920000,0.140000,,2.27000,Msini,,,0,0,0,0,02h42m33.47s,40.639442,-50d48m01.1s,-50.800293,17.33,17.33,5.410,V (Johnson),5.224,6167.00,1.34,1.13,2018-09-06,,La Silla Observatory
HD 10647,b,HD 10647 b,Radial Velocity,0,1,989.20000000,2.015000,0.150000,,0.94000,Msini,,,0,0,0,0,01h42m29.32s,25.622149,-53d44m27.0s,-53.740833,17.34,17.34,5.520,V (Johnson),5.355,6218.00,1.11,1.10,2014-05-14,212.0000,W. M. Keck Observatory
GJ 504,b,GJ 504 b,Imaging,0,1,,43.500000,,,4.00000,Mass,,,0,0,0,0,13h16m46.52s,199.193817,+09d25m27.0s,9.424156,17.54,17.54,5.220,V (Johnson),5.001,6234.00,1.22,,2014-05-14,,Subaru Telescope
GJ 3021,b,GJ 3021 b,Radial Velocity,0,1,133.71000000,0.490000,0.511000,,3.37000,Msini,,,0,0,0,1,00h16m12.68s,4.052823,-79d51m04.3s,-79.851181,17.56,17.56,6.590,V (Johnson),6.394,5540.00,0.90,0.90,2014-05-14,290.7000,La Silla Observatory
LSPM J2116+0234,b,LSPM J2116+0234 b,Radial Velocity,0,1,14.43990000,0.087600,0.183000,,0.04185,Msini,,,0,0,0,0,21h16m27.28s,319.113667,+02d34m51.39s,2.580942,17.64,17.64,,,10.860,3475.00,0.43,0.43,2019-06-13,,Calar Alto Observatory
70 Vir,b,70 Vir b,Radial Velocity,0,1,116.68800000,0.481000,0.398800,,7.41600,Msini,,,0,0,0,0,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,17.91,17.91,4.970,V (Johnson),4.709,5495.00,1.09,1.89,2018-12-06,359.8300,Lick Observatory
14 Her,b,14 Her b,Radial Velocity,0,1,1773.40002000,2.930000,0.370000,,4.66000,Msini,,,0,0,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,17.94,6.610,V (Johnson),6.379,5338.00,0.90,0.93,2018-09-06,,W. M. Keck Observatory
HN Peg,b,HN Peg b,Imaging,0,1,,773.000000,,,21.99870,Mass,1.051,,0,0,0,0,21h44m31.33s,326.130554,+14d46m19.0s,14.771939,18.13,18.13,5.950,V (Johnson),5.811,5974.00,1.10,1.04,2014-05-14,,Spitzer Space Telescope
HD 99492,b,HD 99492 b,Radial Velocity,0,1,17.04310000,0.120000,0.250000,,0.07000,Msini,,,0,0,0,0,11h26m46.28s,171.692825,+03d00m22.8s,3.006328,18.21,18.21,7.580,V (Johnson),7.260,4815.00,0.48,0.83,2018-09-06,,W. M. Keck Observatory
HD 27442,b,HD 27442 b,Radial Velocity,0,1,428.10000000,1.271000,0.060000,,1.56000,Msini,,,0,0,0,0,04h16m29.03s,64.120956,-59d18m07.8s,-59.302155,18.28,18.28,4.440,V (Johnson),4.064,4846.00,1.23,,2014-07-23,216.0000,Anglo-Australian Telescope
HD 154345,b,HD 154345 b,Radial Velocity,0,1,3341.55884000,4.210000,0.040000,,0.82000,Msini,,,0,0,0,0,17h02m36.41s,255.651688,+47d04m54.8s,47.081882,18.29,18.29,6.760,V (Johnson),6.568,5468.00,0.71,0.85,2018-09-06,,W. M. Keck Observatory
HD 87883,b,HD 87883 b,Radial Velocity,0,1,2754.00000000,3.580000,0.530000,,1.54000,Msini,,,0,0,0,0,10h08m43.14s,152.179749,+34d14m32.1s,34.242260,18.30,18.30,7.550,V (Johnson),7.272,4915.00,0.66,0.79,2018-09-06,,Lick Observatory
WD 0806-661,b,WD 0806-661 b,Imaging,0,1,,2500.000000,,,7.50000,Mass,,,0,0,0,0,08h06m53.74s,121.723902,-66d18m16.7s,-66.304650,19.20,19.26,,,13.683,,0.62,,2014-05-14,,Spitzer Space Telescope
HD 192263,b,HD 192263 b,Radial Velocity,0,1,24.35560000,0.150000,0.050000,,0.56000,Msini,,,0,0,0,0,20h13m59.85s,303.499359,-00d52m00.8s,-0.866877,19.65,19.65,7.790,V (Johnson),7.496,4976.00,0.66,0.74,2018-09-06,,La Silla Observatory
bet Pic,b,bet Pic b,Imaging,0,1,7665.00000000,9.100000,0.080000,88.900,,,,,0,0,0,2,05h47m17.09s,86.821198,-51d03m59.4s,-51.066513,19.75,19.75,3.850,V (Johnson),3.725,,1.76,,2015-08-13,-8.0000,Paranal Observatory
HD 189733,b,HD 189733 b,Radial Velocity,0,1,2.21857567,,0.000000,85.710,1.13000,Mass,1.130,,0,0,0,0,20h00m43.71s,300.182129,+22d42m39.1s,22.710854,19.78,19.78,7.670,V (Johnson),7.414,5052.00,0.79,0.75,2018-12-06,,Haute-Provence Observatory
GJ 3634,b,GJ 3634 b,Radial Velocity,0,1,2.64561000,0.028700,0.080000,59.000,0.02600,Mass,,,0,0,0,0,10h58m35.10s,164.646242,-31d08m38.4s,-31.143989,19.80,20.39,11.930,V (Johnson),10.923,,0.45,0.43,2014-08-21,84.0000,La Silla Observatory
7 CMa,b,7 CMa b,Radial Velocity,0,1,796.00000000,1.930000,0.220000,,2.46000,Msini,,,0,0,0,0,06h36m41.04s,99.170990,-19d15m21.2s,-19.255878,19.82,19.82,3.920,V (Johnson),3.578,4792.00,1.52,2.30,2015-10-22,77.0000,Anglo-Australian Telescope
alf Ari,b,alf Ari b,Radial Velocity,0,1,380.80000000,1.200000,0.250000,,1.80000,Msini,,,0,0,0,0,02h07m10.41s,31.793364,+23d27m44.7s,23.462423,20.21,,2.000,V (Johnson),,4553.00,1.50,13.90,2019-01-31,89.1600,Bohyunsan Optical Astronomical Observatory
HD 114613,b,HD 114613 b,Radial Velocity,0,1,4000.00000000,5.340000,0.458000,,0.35700,Msini,,,0,0,0,0,13h12m03.19s,198.013275,-37d48m10.9s,-37.803020,20.29,20.29,4.850,V (Johnson),4.604,5641.00,1.27,2.14,2018-12-06,196.0000,Anglo-Australian Telescope
HD 104067,b,HD 104067 b,Radial Velocity,0,1,55.80600000,0.260000,0.000000,,0.16000,Msini,,,0,0,0,0,11h59m10.01s,179.791702,-20d21m13.6s,-20.353781,20.38,20.38,7.930,V (Johnson),7.620,4937.00,0.62,0.74,2018-09-06,,La Silla Observatory
alf Tau,b,alf Tau b,Radial Velocity,0,1,628.96000000,1.460000,0.100000,,6.47000,Msini,,,0,0,0,0,04h35m55.24s,68.980164,+16d30m33.5s,16.509302,20.43,,0.850,V (Johnson),,4055.00,1.13,45.10,2015-06-04,287.0000,Multiple Observatories
GJ 328,b,GJ 328 b,Radial Velocity,0,1,4100.00000000,4.500000,0.370000,,2.30000,Msini,,,0,0,0,0,08h55m07.62s,133.781754,+01d32m47.4s,1.546508,20.54,20.54,9.970,V (Johnson),9.286,3900.00,0.69,,2014-05-14,290.0000,McDonald Observatory
DENIS-P J082303.1-491201,b,DENIS-P J082303.1-491201 b,Astrometry,0,1,246.36000000,0.360000,0.345000,56.600,28.50000,Mass,,,0,0,0,0,08h23m03.13s,125.763050,-49d12m01.3s,-49.200359,20.77,20.67,,,18.558,,0.07,,2014-05-14,36.3000,Paranal Observatory
HD 33564,b,HD 33564 b,Radial Velocity,0,1,388.00000000,1.100000,0.340000,,9.10000,Msini,,,0,0,0,0,05h22m33.53s,80.639717,+79d13m52.1s,79.231148,20.97,20.97,5.080,V (Johnson),4.928,6250.00,1.25,,2014-12-03,205.0000,Haute-Provence Observatory
16 Cyg B,b,16 Cyg B b,Radial Velocity,0,1,798.50000000,1.660000,0.680000,,1.78000,Msini,,,0,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.15,21.15,6.250,V (Johnson),6.057,5750.00,1.08,1.13,2018-09-06,,Multiple Observatories
RR Cae,b,RR Cae b,Eclipse Timing Variations,0,1,4343.50000000,5.300000,0.000000,17.600,4.20000,Msini,,,0,0,0,0,04h21m05.56s,65.273181,-48d39m07.1s,-48.651976,21.20,21.20,,,13.658,,0.44,,2015-08-27,,Leoncito Astronomical Complex
HD 210277,b,HD 210277 b,Radial Velocity,0,1,442.19000000,1.130000,0.480000,,1.29000,Msini,,,0,0,0,0,22h09m29.87s,332.374451,-07d32m55.2s,-7.548654,21.31,21.31,6.530,V (Johnson),6.343,5538.00,1.01,1.07,2018-09-06,,W. M. Keck Observatory
GJ 4276,b,GJ 4276 b,Radial Velocity,0,1,13.35200000,0.082000,0.370000,,0.05213,Msini,,,0,0,0,0,22h25m17.05s,336.321023,+59d24m49.8s,59.413835,21.35,21.35,,,11.660,3387.00,0.41,0.41,2019-01-24,216.8300,Calar Alto Observatory
HD 97658,b,HD 97658 b,Radial Velocity,0,1,9.49090000,,0.060000,89.450,0.03000,Mass,0.210,,0,0,0,1,11h14m33.16s,168.638184,+25d42m37.4s,25.710384,21.58,21.58,7.710,V (Johnson),7.514,5175.00,0.89,0.74,2018-04-26,,W. M. Keck Observatory
HD 90156,b,HD 90156 b,Radial Velocity,0,1,49.77000000,0.250000,0.310000,,0.05700,Msini,,,0,0,0,0,10h23m55.28s,155.980316,-29d38m43.9s,-29.645529,21.96,21.96,6.920,V (Johnson),6.740,5599.00,0.84,,2014-05-14,113.0000,La Silla Observatory
HD 4308,b,HD 4308 b,Radial Velocity,0,1,15.56000000,0.120000,0.000000,,0.05000,Msini,,,0,0,0,0,00h44m39.27s,11.163615,-65d38m58.3s,-65.649521,22.03,22.03,6.560,V (Johnson),6.372,5686.00,0.93,1.02,2018-09-06,,La Silla Observatory
psi 1 Dra B,b,psi 1 Dra B b,Radial Velocity,0,1,3117.00000000,4.430000,0.400000,,1.53000,Msini,,,0,0,0,1,17h41m58.10s,265.492096,+72d09m24.9s,72.156914,22.16,22.73,5.699,V (Johnson),5.630,6212.00,1.19,,2015-12-17,64.0000,McDonald Observatory
HD 19994,b,HD 19994 b,Radial Velocity,0,1,466.20000000,1.305000,0.063000,,1.37000,Msini,,,0,0,0,0,03h12m46.44s,48.193485,-01d11m46.0s,-1.196101,22.54,22.54,5.060,V (Johnson),4.885,6188.00,1.36,,2014-05-14,346.0000,La Silla Observatory
CFBDSIR J145829+101343,b,CFBDSIR J145829+101343 b,Imaging,0,1,10037.50000000,2.600000,,,10.50000,Mass,,,0,0,0,1,14h58m29.00s,224.620833,+10d13m43.0s,10.228611,23.10,,,,,580.50,0.02,,2014-05-14,,W. M. Keck Observatory
GJ 3341,b,GJ 3341 b,Radial Velocity,0,1,14.20700000,0.089000,0.310000,,0.02080,Msini,,,0,0,0,0,05h15m46.72s,78.944663,-31d17m45.4s,-31.295951,23.16,23.64,12.080,V (Johnson),11.103,3526.00,0.47,0.44,2014-12-03,42.3200,La Silla Observatory
